"txid","refid","time","type","subtype","aclass","asset","wallet","amount","fee","balance"
"LLQBMQ-A4XH6-JG6QTJ","FTfi3Y5-sh5xLqnZGYHlVfIAcyrpzl","2022-04-13 02:51:13","deposit","","currency","BTC","spot / main",0.0001475600,0,0.0001475600
"LDTVBA-JUY7A-WMC6QZ","TJEHSN-HAFQQ-SOPVMC","2022-04-15 20:40:54","trade","tradespot","currency","BTC","spot / main",-0.0001480000,0,-0.0000004400
"L4WX5I-R2OFE-E72VPJ","TJEHSN-HAFQQ-SOPVMC","2022-04-15 20:40:54","trade","tradespot","currency","ETH","spot / main",0.0019685200,0,0.0019685200
"L7K5TQ-5DSNR-Z3RD5T","TGPJCT-56XQP-DVJKND","2022-04-15 21:02:26","trade","tradespot","currency","ETH","spot / main",-0.0019685200,0,0.0000000000
"L4GBFQ-BZ7KL-PMXUJ6","TGPJCT-56XQP-DVJKND","2022-04-15 21:02:26","trade","tradespot","currency","BTC","spot / main",0.0001470000,0,0.0001465600
"LJLLHN-7UG4P-NEEWKM","TSJOCM-JS4AA-CAK4XJ","2022-04-16 16:35:25","trade","tradespot","currency","BTC","spot / main",-0.0001099200,0,0.0000366400
"L6QOU5-UVYIR-3H7HQN","TSJOCM-JS4AA-CAK4XJ","2022-04-16 16:35:25","trade","tradespot","currency","EUR","spot / main",4.0880,0.0106,4.0774
"LPFXX6-C62ME-ELBI7D","TSRD2G-2Q4MW-5YG6FU","2022-04-16 17:02:06","trade","tradespot","currency","EUR","spot / main",-4.0700,0,0.0074
"LLORCK-VITED-37774L","TSRD2G-2Q4MW-5YG6FU","2022-04-16 17:02:06","trade","tradespot","currency","BTC","spot / main",0.0001092300,0.0000002800,0.0001455900
"LLSXAC-DGCNP-HOOAZT","TH2TQ6-SL5S7-OVBSNX","2022-04-16 17:05:03","trade","tradespot","currency","BTC","spot / main",-0.0001455900,0,0.0000000000
"LUI2AI-AYUWL-56RZ3J","TH2TQ6-SL5S7-OVBSNX","2022-04-16 17:05:03","trade","tradespot","currency","EUR","spot / main",5.4239,0.0141,5.4172
"LLEPE6-RIZDZ-K3WWFE","TUDPMU-EJLYC-ZKUIIK","2022-04-16 17:19:40","trade","tradespot","currency","EUR","spot / main",-5.4101,0,0.0071
"LIKDTD-ATM7K-YL5IZR","TUDPMU-EJLYC-ZKUIIK","2022-04-16 17:19:40","trade","tradespot","currency","BTC","spot / main",0.0001453100,0.0000003800,0.0001449300
"LJA7MW-LU6U5-76ZQZM","TST3YW-L74ND-R22YPF","2022-04-16 23:15:27","trade","tradespot","currency","BTC","spot / main",-0.0001449300,0,0.0000000000
"LBJ3BN-TJYQY-WUN44B","TST3YW-L74ND-R22YPF","2022-04-16 23:15:27","trade","tradespot","currency","EUR","spot / main",5.4240,0.0141,5.4170
"LBUTVH-HICTT-YPXZRS","TSRVX7-GBMXA-ZJU6E4","2022-04-16 23:20:16","trade","tradespot","currency","EUR","spot / main",-5.4100,0,0.0070
"L3BUWU-G5LQ3-PNCUNK","TSRVX7-GBMXA-ZJU6E4","2022-04-16 23:20:16","trade","tradespot","currency","ETH","spot / main",0.0019046600,0.0000049500,0.0018997100
"LVXFQ2-V4RJU-O5N6U6","T5N2EF-B45WP-B5H6DC","2022-04-17 19:54:43","trade","tradespot","currency","ETH","spot / main",-0.0018997100,0,0.0000000000
"LJB537-VR5EL-3WKELG","T5N2EF-B45WP-B5H6DC","2022-04-17 19:54:43","trade","tradespot","currency","EUR","spot / main",5.3761,0.0140,5.3691
"LN25SU-ZL4JL-7X5NEP","THKMD7-53SBW-RJBOOM","2022-04-17 21:14:01","trade","tradespot","currency","EUR","spot / main",-5.3600,0.0086,0.0005
"LELCFF-WJGSA-TRESF6","THKMD7-53SBW-RJBOOM","2022-04-17 21:14:01","trade","tradespot","currency","BTC","spot / main",0.0001440000,0,0.0001440000
"LXM3U2-4AEGJ-IAAXU3","T5JM7N-TID7Q-OM254Y","2022-04-18 11:03:22","trade","tradespot","currency","BTC","spot / main",-0.0001440000,0,0.0000000000
"L3URQZ-H7ITV-5MJRDA","T5JM7N-TID7Q-OM254Y","2022-04-18 11:03:22","trade","tradespot","currency","EUR","spot / main",5.1941,0.0135,5.1811
"L37GCX-LE46X-N6KNOF","TZDKGS-GSPSG-4R5EXY","2022-04-18 11:09:58","trade","tradespot","currency","EUR","spot / main",-5.1811,0,0.0000
"LWXQRX-HLDSX-KY2D5N","TZDKGS-GSPSG-4R5EXY","2022-04-18 11:09:58","trade","tradespot","currency","OGN","spot / main",9.0896491200,0.0236333300,9.0660157900
"LOUGVL-M3EW4-RN4L5Y","FTGG8hw-2zCNP0QdeICP5q4ZN7JeO0","2022-04-18 12:34:04","deposit","","currency","GBP","spot / main",7.0000,0,7.0000
"L5IKYJ-SFLJP-53PETF","T7MZD2-TE7TH-CJDYKR","2022-04-18 14:23:35","trade","tradespot","currency","OGN","spot / main",-9.0660157900,0,0.0000000000
"LPIVNP-TN3QM-WBOS7E","T7MZD2-TE7TH-CJDYKR","2022-04-18 14:23:35","trade","tradespot","currency","EUR","spot / main",5.6862,0.0148,5.6714
"LQW5J5-63LER-RE3JXZ","T5A4RT-SM6BW-G3RMOG","2022-04-18 14:24:49","trade","tradespot","currency","GBP","spot / main",-7.0000,0,0.0000
"LGMQTI-3QJCA-PQG6HN","T5A4RT-SM6BW-G3RMOG","2022-04-18 14:24:49","trade","tradespot","currency","EUR","spot / main",8.4464,0.0169,14.1009
"LYNS2W-MSLRF-PKEGYF","TSZZWL-SLIJU-5TXZYP","2022-04-18 14:39:42","trade","tradespot","currency","EUR","spot / main",-14.1009,0,0.0000
"LVPWKZ-H5LMR-ATBCK4","TSZZWL-SLIJU-5TXZYP","2022-04-18 14:39:42","trade","tradespot","currency","OGN","spot / main",22.3823809500,0.0581936500,22.3241873000
"LUO3WS-JJJ4O-5LCI24","TV2TXU-MOGPG-YW4S2Q","2022-04-18 14:56:06","trade","tradespot","currency","OGN","spot / main",-22.3241873000,0,0.0000000000
"LSC6QD-MLBBL-NT3UTV","TV2TXU-MOGPG-YW4S2Q","2022-04-18 14:56:06","trade","tradespot","currency","EUR","spot / main",13.6311,0.0354,13.5957
"LDNSF2-7AQBO-ZWRHZW","FTPS56L-itMMJA0zJTHDfv55hT1PD7","2022-04-18 22:52:58","deposit","","currency","GBP","spot / main",25.0000,0,25.0000
"LYL3Z3-X4DTR-MQ57L2","TYS45A-4FOV4-BFTIFC","2022-04-18 22:56:57","trade","tradespot","currency","EUR","spot / main",-13.5900,0,0.0057
"LKOZQU-JRGXB-SVDH3J","TYS45A-4FOV4-BFTIFC","2022-04-18 22:56:57","trade","tradespot","currency","GBP","spot / main",11.2479,0.0225,36.2254
"LMGRVN-KU5MI-QVYQA5","TP476J-G4LIE-ILPC6I","2022-04-19 08:10:23","trade","tradespot","currency","GBP","spot / main",-36.2254,0,0.0000
"LYNH4V-2WTLQ-CV3XKL","TP476J-G4LIE-ILPC6I","2022-04-19 08:10:23","trade","tradespot","currency","USDT","spot / main",47.15620932,0.09431242,47.06189690
